"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C24","TopLayer","5.5000","5.2000","270"
"C23","TopLayer","14.8000","2.5000","180"
"C22","TopLayer","3.7000","-2.0000","360"
"C21","TopLayer","14.8000","3.4000","180"
"C20","TopLayer","6.4000","5.2000","270"
"C19","TopLayer","12.0000","-6.5000","90"
"C18","TopLayer","-2.4000","-8.8000","90"
"C17","TopLayer","-1.9000","-12.0000","360"
"C16","TopLayer","5.7000","-14.3000","270"
"C15","TopLayer","5.7000","-12.5000","90"
"C14","TopLayer","5.2000","-11.2000","180"
"C13","TopLayer","-2.4000","-10.6000","270"
"C12","TopLayer","-19.8000","-7.6000","270"
"C11","TopLayer","-29.0000","6.5000","360"
"C10","TopLayer","-29.4000","14.1000","360"
"C8","TopLayer","-32.6000","6.5000","180"
"C9","TopLayer","-27.6000","14.1000","180"
"C7","TopLayer","-30.8000","6.5000","360"
"C6","TopLayer","-34.5000","7.3000","270"
"C5","TopLayer","-19.8000","-5.7000","90"
"C4","TopLayer","-27.2000","6.5000","180"
"C2","TopLayer","-14.9000","-7.2000","270"
"C1","TopLayer","-4.6000","-7.5000","360"
"ANT1","BottomLayer","-17.0000","0.0000","90"
